instance,alpha,niters,mean_obj,std_obj,mean_t
instance12_nreq50_nveh2_gamma46,0.5,50,2163.2493322359783,48.040702103547225,0.19698192499999997
instance12_nreq50_nveh2_gamma46,0.5,100,2153.0219524919116,43.3261918324553,0.38945036699999996
instance12_nreq50_nveh2_gamma46,0.7,20,2195.2548969046907,53.07136519184846,0.0978809334
instance12_nreq50_nveh2_gamma46,0.7,50,2177.2197560656023,71.52493306218607,0.21860640020000002
instance12_nreq50_nveh2_gamma46,0.7,100,2156.1286101736077,45.98125569718427,0.4197337834
instance13_nreq50_nveh2_gamma47,0.1,20,2046.144537375735,58.86012623785584,0.12119185000000002
instance13_nreq50_nveh2_gamma47,0.1,50,1999.3757678864629,38.11830074154612,0.26191291699999997
instance13_nreq50_nveh2_gamma47,0.1,100,1989.900370153037,27.288495878030982,0.49029152519999997
instance13_nreq50_nveh2_gamma47,0.3,20,2187.118781839726,49.86269426393097,0.0897022336
instance13_nreq50_nveh2_gamma47,0.3,50,2127.4571423590887,26.569154111526966,0.18052644980000002
instance13_nreq50_nveh2_gamma47,0.3,100,2113.30049139523,26.9191999460907,0.3673259498
instance13_nreq50_nveh2_gamma47,0.5,20,2403.424460152487,71.47639066181256,0.0875245916
instance13_nreq50_nveh2_gamma47,0.5,50,2368.0988882896627,67.92275407926536,0.22270239160000002
instance13_nreq50_nveh2_gamma47,0.5,100,2339.6777919501646,68.41081864323817,0.38737377500000003
instance13_nreq50_nveh2_gamma47,0.7,20,2435.52307897881,134.0302871967418,0.0954542416
instance13_nreq50_nveh2_gamma47,0.7,50,2345.3051061419524,87.19411487761526,0.2144181752
instance13_nreq50_nveh2_gamma47,0.7,100,2311.5020878708465,86.54416138774833,0.40766206660000004
instance14_nreq50_nveh2_gamma45,0.1,20,1796.5894684984028,36.5917604335758,0.0729638416
instance14_nreq50_nveh2_gamma45,0.1,50,1751.107916542095,48.34218341653192,0.1771675582
instance14_nreq50_nveh2_gamma45,0.1,100,1732.7684825004785,31.647612337625247,0.35171805840000003
instance14_nreq50_nveh2_gamma45,0.3,20,1947.7751015974195,92.33638633161075,0.0695267666
instance14_nreq50_nveh2_gamma45,0.3,50,1889.6118555143435,64.38791596479676,0.15594782499999998
instance14_nreq50_nveh2_gamma45,0.3,100,1889.6118555143435,64.38791596479676,0.2940499084
instance14_nreq50_nveh2_gamma45,0.5,20,2202.4692074094605,122.90763436515982,0.06539613340000001
instance14_nreq50_nveh2_gamma45,0.5,50,2160.228206716986,92.66273097717293,0.1463550502
instance14_nreq50_nveh2_gamma45,0.5,100,2123.0109196467265,62.2108610226441,0.2760097916
instance14_nreq50_nveh2_gamma45,0.7,20,2389.7694564151616,59.571156160436054,0.06941944159999999
instance14_nreq50_nveh2_gamma45,0.7,50,2382.1340123081336,60.74491259180329,0.147886217
instance14_nreq50_nveh2_gamma45,0.7,100,2340.1386367967907,63.46351120278057,0.2882342418
